SALE_ID,ORDER_DATE,PRODUCT_ID,QUANTITY_SOLD,CUSTOMER_ID
PRD1119,01-09-2025,P009,358,CUST079
PRD1120,01-09-2025,P011,882,CUST075
PRD1121,02-09-2025,P036,690,CUST089
PRD1122,02-09-2025,P013,322,CUST063
PRD1123,02-09-2025,P013,285,CUST065
PRD1124,03-09-2025,P039,138,CUST056
PRD1125,03-09-2025,P035,176,CUST009
PRD1126,04-09-2025,P005,650,CUST059
PRD1127,04-09-2025,P008,670,CUST079
PRD1128,04-09-2025,P026,884,CUST092
PRD1129,04-09-2025,P016,833,CUST020
PRD1130,04-09-2025,P006,112,CUST046
PRD1131,05-09-2025,P021,452,CUST055
PRD1132,05-09-2025,P028,370,CUST074
PRD1133,06-09-2025,P005,437,CUST002
PRD1134,06-09-2025,P008,110,CUST009
PRD1135,06-09-2025,P016,495,CUST085
PRD1136,07-09-2025,P034,333,CUST037
PRD1137,07-09-2025,P036,623,CUST061
PRD1138,07-09-2025,P026,666,CUST068
PRD1139,07-09-2025,P018,754,CUST065
PRD1140,08-09-2025,P017,459,CUST068
PRD1141,09-09-2025,P037,867,CUST060
PRD1142,09-09-2025,P034,402,CUST079
PRD1143,10-09-2025,P006,161,CUST048
PRD1144,10-09-2025,P003,584,CUST009
PRD1145,10-09-2025,P013,648,CUST025
PRD1146,11-09-2025,P023,868,CUST008
PRD1147,12-09-2025,P003,798,CUST076
PRD1148,12-09-2025,P028,249,CUST034
PRD1149,12-09-2025,P040,534,CUST017
PRD1150,12-09-2025,P035,468,CUST054
PRD1151,13-09-2025,P022,437,CUST050
PRD1152,13-09-2025,P027,341,CUST061
PRD1153,13-09-2025,P038,420,CUST055
PRD1154,13-09-2025,P022,671,CUST009
PRD1155,14-09-2025,P017,211,CUST032
PRD1156,14-09-2025,P025,640,CUST026
PRD1157,14-09-2025,P025,467,CUST046
PRD1158,14-09-2025,P029,651,CUST077
PRD1159,15-09-2025,P021,948,CUST069
PRD1160,15-09-2025,P033,345,CUST025
PRD1161,16-09-2025,P007,973,CUST059
PRD1162,16-09-2025,P008,909,CUST057
PRD1163,16-09-2025,P031,100,CUST010
PRD1164,16-09-2025,P031,211,CUST099
PRD1165,16-09-2025,P015,972,CUST081
PRD1166,16-09-2025,P028,326,CUST007
PRD1167,17-09-2025,P018,110,CUST041
PRD1168,17-09-2025,P025,268,CUST007
PRD1169,18-09-2025,P016,422,CUST015
PRD1170,18-09-2025,P019,492,CUST036
PRD1171,18-09-2025,P011,776,CUST029
PRD1172,18-09-2025,P025,266,CUST099
PRD1173,18-09-2025,P022,821,CUST095
PRD1174,18-09-2025,P024,472,CUST012
PRD1175,19-09-2025,P031,504,CUST051
PRD1176,19-09-2025,P032,966,CUST015
PRD1177,20-09-2025,P007,414,CUST075
PRD1178,20-09-2025,P011,861,CUST066
PRD1179,20-09-2025,P028,701,CUST044
PRD1180,20-09-2025,P025,270,CUST006
PRD1181,20-09-2025,P005,605,CUST019
PRD1182,21-09-2025,P022,656,CUST075
PRD1183,22-09-2025,P008,743,CUST084
PRD1184,22-09-2025,P012,772,CUST055
PRD1185,22-09-2025,P007,863,CUST058
PRD1186,22-09-2025,P005,645,CUST067
PRD1187,23-09-2025,P016,553,CUST002
PRD1188,23-09-2025,P020,514,CUST010
PRD1189,24-09-2025,P030,324,CUST096
PRD1190,24-09-2025,P004,104,CUST074
PRD1191,25-09-2025,P034,125,CUST071
PRD1192,25-09-2025,P010,652,CUST001
PRD1193,25-09-2025,P014,565,CUST053
PRD1194,25-09-2025,P035,383,CUST078
PRD1195,25-09-2025,P029,311,CUST022
PRD1196,25-09-2025,P026,705,CUST014
PRD1197,25-09-2025,P025,389,CUST095
PRD1198,26-09-2025,P019,128,CUST027
PRD1199,26-09-2025,P018,287,CUST090
PRD1200,26-09-2025,P025,737,CUST095
PRD1201,26-09-2025,P004,619,CUST049
PRD1202,27-09-2025,P002,964,CUST059
PRD1203,27-09-2025,P006,774,CUST017
PRD1204,28-09-2025,P025,434,CUST023
PRD1205,28-09-2025,P002,470,CUST061
PRD1206,28-09-2025,P015,389,CUST003
PRD1207,28-09-2025,P035,626,CUST081
PRD1208,28-09-2025,P034,199,CUST084
PRD1209,29-09-2025,P009,591,CUST007
PRD1210,29-09-2025,P036,518,CUST036
PRD1211,29-09-2025,P003,814,CUST057
PRD1212,29-09-2025,P034,848,CUST061
PRD1213,30-09-2025,P031,777,CUST079
PRD1214,30-09-2025,P019,946,CUST036
PRD1215,01-10-2025,P006,917,CUST054
PRD1216,01-10-2025,P021,843,CUST026
PRD1217,01-10-2025,P010,632,CUST058
PRD1218,01-10-2025,P021,510,CUST085
PRD1219,01-10-2025,P002,593,CUST008
PRD1220,02-10-2025,P003,297,CUST053
PRD1221,02-10-2025,P007,750,CUST058
PRD1222,03-10-2025,P033,206,CUST065
PRD1223,03-10-2025,P040,377,CUST090
PRD1224,03-10-2025,P003,613,CUST063
PRD1225,03-10-2025,P010,107,CUST038
PRD1226,03-10-2025,P028,707,CUST085
PRD1227,04-10-2025,P016,937,CUST074
PRD1228,04-10-2025,P011,154,CUST065
PRD1229,04-10-2025,P025,480,CUST030
PRD1230,04-10-2025,P033,680,CUST012
PRD1231,04-10-2025,P017,385,CUST018
PRD1232,05-10-2025,P021,875,CUST035
PRD1233,05-10-2025,P037,447,CUST023
PRD1234,06-10-2025,P019,159,CUST007
PRD1235,06-10-2025,P019,925,CUST055
PRD1236,06-10-2025,P033,302,CUST025
PRD1237,06-10-2025,P023,170,CUST017
PRD1238,06-10-2025,P038,276,CUST016
PRD1239,06-10-2025,P040,502,CUST068
PRD1240,07-10-2025,P017,704,CUST051
PRD1241,07-10-2025,P040,348,CUST020
PRD1242,07-10-2025,P007,673,CUST033
PRD1243,07-10-2025,P005,674,CUST039
PRD1244,07-10-2025,P036,520,CUST024
PRD1245,07-10-2025,P010,826,CUST090
PRD1246,08-10-2025,P028,799,CUST054
PRD1247,09-10-2025,P037,478,CUST043
PRD1248,09-10-2025,P034,142,CUST039
PRD1249,09-10-2025,P002,639,CUST009
PRD1250,09-10-2025,P014,138,CUST061
PRD1251,09-10-2025,P018,545,CUST031
PRD1252,10-10-2025,P025,152,CUST003
PRD1253,10-10-2025,P005,885,CUST002
PRD1254,10-10-2025,P009,450,CUST041
PRD1255,11-10-2025,P008,501,CUST093
PRD1256,11-10-2025,P034,107,CUST048
PRD1257,11-10-2025,P037,505,CUST093
PRD1258,11-10-2025,P034,959,CUST003
PRD1259,11-10-2025,P011,454,CUST086
PRD1260,11-10-2025,P024,760,CUST045
PRD1261,12-10-2025,P039,791,CUST046
PRD1262,12-10-2025,P018,157,CUST093
PRD1263,12-10-2025,P031,498,CUST098
PRD1264,13-10-2025,P027,626,CUST063
PRD1265,14-10-2025,P024,787,CUST028
PRD1266,14-10-2025,P028,357,CUST075
PRD1267,15-10-2025,P003,362,CUST019
PRD1268,16-10-2025,P006,381,CUST077
PRD1269,16-10-2025,P015,853,CUST030
PRD1270,16-10-2025,P040,941,CUST072
PRD1271,16-10-2025,P033,551,CUST052
PRD1272,17-10-2025,P034,601,CUST002
PRD1273,18-10-2025,P035,875,CUST007
PRD1274,18-10-2025,P012,352,CUST061
PRD1275,18-10-2025,P033,290,CUST015
PRD1276,18-10-2025,P023,730,CUST059
PRD1277,19-10-2025,P028,879,CUST030
PRD1278,19-10-2025,P012,645,CUST052
PRD1279,19-10-2025,P026,478,CUST048
PRD1280,20-10-2025,P007,910,CUST027
PRD1281,20-10-2025,P030,991,CUST070
PRD1282,20-10-2025,P019,371,CUST098
PRD1283,20-10-2025,P032,321,CUST016
PRD1284,20-10-2025,P004,673,CUST002
PRD1285,20-10-2025,P012,822,CUST026
PRD1286,21-10-2025,P003,734,CUST094
PRD1287,21-10-2025,P024,870,CUST031
PRD1288,21-10-2025,P010,105,CUST017
PRD1289,21-10-2025,P030,968,CUST006
PRD1290,22-10-2025,P021,784,CUST041
PRD1291,22-10-2025,P037,660,CUST065
PRD1292,22-10-2025,P004,563,CUST088
PRD1293,22-10-2025,P022,436,CUST017
PRD1294,22-10-2025,P024,321,CUST005
PRD1295,22-10-2025,P034,466,CUST020
PRD1296,22-10-2025,P004,903,CUST078
PRD1297,23-10-2025,P036,912,CUST085
PRD1298,23-10-2025,P003,891,CUST055
PRD1299,23-10-2025,P014,165,CUST082
PRD1300,25-10-2025,P035,617,CUST003
PRD1301,25-10-2025,P037,886,CUST060
PRD1302,26-10-2025,P011,654,CUST097
PRD1303,26-10-2025,P012,685,CUST073
PRD1304,27-10-2025,P003,731,CUST016
PRD1305,27-10-2025,P015,993,CUST080
PRD1306,28-10-2025,P010,703,CUST008
PRD1307,28-10-2025,P022,535,CUST014
PRD1308,29-10-2025,P011,847,CUST089
PRD1309,30-10-2025,P014,447,CUST086
PRD1310,30-10-2025,P011,286,CUST056
PRD1311,31-10-2025,P028,338,CUST018
PRD1312,31-10-2025,P013,506,CUST073
PRD1313,01-11-2025,P021,117,CUST048
PRD1314,01-11-2025,P013,967,CUST011
PRD1315,01-11-2025,P011,986,CUST013
PRD1316,02-11-2025,P006,234,CUST077
PRD1317,02-11-2025,P008,797,CUST002
PRD1318,02-11-2025,P029,286,CUST032
PRD1319,03-11-2025,P003,162,CUST066
PRD1320,04-11-2025,P025,679,CUST098
PRD1321,04-11-2025,P031,132,CUST083
PRD1322,05-11-2025,P010,922,CUST004
PRD1323,05-11-2025,P014,999,CUST075
PRD1324,05-11-2025,P001,873,CUST020
PRD1325,07-11-2025,P039,310,CUST009
PRD1326,07-11-2025,P003,461,CUST056
PRD1327,07-11-2025,P011,286,CUST003
PRD1328,07-11-2025,P010,262,CUST001
PRD1329,07-11-2025,P024,398,CUST019
PRD1330,08-11-2025,P016,677,CUST086
PRD1331,08-11-2025,P011,387,CUST076
PRD1332,09-11-2025,P025,856,CUST063
PRD1333,10-11-2025,P016,843,CUST041
PRD1334,11-11-2025,P010,410,CUST082
PRD1335,11-11-2025,P023,212,CUST061
PRD1336,11-11-2025,P014,778,CUST069
PRD1337,11-11-2025,P031,735,CUST059
PRD1338,11-11-2025,P037,628,CUST045
PRD1339,12-11-2025,P025,694,CUST025
PRD1340,12-11-2025,P040,581,CUST006
PRD1341,12-11-2025,P038,893,CUST040
PRD1342,13-11-2025,P039,630,CUST066
PRD1343,13-11-2025,P005,704,CUST007
PRD1344,13-11-2025,P018,553,CUST085
PRD1345,13-11-2025,P004,107,CUST043
PRD1346,14-11-2025,P024,432,CUST008
PRD1347,15-11-2025,P036,902,CUST004
PRD1348,15-11-2025,P036,390,CUST009
PRD1349,15-11-2025,P002,820,CUST074
PRD1350,16-11-2025,P031,188,CUST089
PRD1351,17-11-2025,P025,621,CUST025
PRD1352,17-11-2025,P004,843,CUST097
PRD1353,18-11-2025,P040,706,CUST027
PRD1354,18-11-2025,P007,720,CUST035
PRD1355,18-11-2025,P032,956,CUST056
PRD1356,18-11-2025,P036,432,CUST029
PRD1357,19-11-2025,P012,114,CUST084
PRD1358,19-11-2025,P037,414,CUST087
PRD1359,19-11-2025,P008,786,CUST079
PRD1360,19-11-2025,P024,716,CUST060
PRD1361,19-11-2025,P004,564,CUST077
PRD1362,19-11-2025,P036,949,CUST092
PRD1363,19-11-2025,P026,206,CUST006
PRD1364,19-11-2025,P025,797,CUST011
PRD1365,20-11-2025,P036,263,CUST028
PRD1366,20-11-2025,P007,808,CUST003
PRD1367,20-11-2025,P015,444,CUST073
PRD1368,21-11-2025,P013,621,CUST087
PRD1369,22-11-2025,P034,956,CUST090
PRD1370,22-11-2025,P035,923,CUST016
PRD1371,22-11-2025,P028,738,CUST015
PRD1372,23-11-2025,P034,291,CUST053
PRD1373,24-11-2025,P019,329,CUST008
PRD1374,24-11-2025,P020,306,CUST024
PRD1375,24-11-2025,P014,594,CUST050
PRD1376,25-11-2025,P021,117,CUST036
PRD1377,25-11-2025,P012,277,CUST065
PRD1378,26-11-2025,P010,931,CUST098
PRD1379,26-11-2025,P016,346,CUST066
PRD1380,28-11-2025,P034,514,CUST030
PRD1381,29-11-2025,P008,404,CUST050
PRD1382,29-11-2025,P011,755,CUST046
PRD1383,29-11-2025,P020,395,CUST045
PRD1384,29-11-2025,P033,620,CUST015
PRD1385,30-11-2025,P023,888,CUST084
PRD1386,01-12-2025,P015,597,CUST072
PRD1387,01-12-2025,P018,820,CUST052
PRD1388,02-12-2025,P039,140,CUST063
PRD1389,02-12-2025,P032,640,CUST020
PRD1390,03-12-2025,P008,385,CUST053
PRD1391,03-12-2025,P033,514,CUST052
PRD1392,04-12-2025,P010,661,CUST071
PRD1393,04-12-2025,P008,914,CUST022
PRD1394,04-12-2025,P009,609,CUST007
PRD1395,04-12-2025,P003,303,CUST064
PRD1396,05-12-2025,P026,343,CUST099
PRD1397,05-12-2025,P006,718,CUST061
PRD1398,06-12-2025,P018,986,CUST029
PRD1399,06-12-2025,P003,955,CUST093
PRD1400,07-12-2025,P004,569,CUST037
PRD1401,07-12-2025,P008,267,CUST072
PRD1402,08-12-2025,P040,526,CUST047
PRD1403,08-12-2025,P025,576,CUST033
PRD1404,08-12-2025,P010,900,CUST015
PRD1405,09-12-2025,P027,228,CUST023
PRD1406,09-12-2025,P009,115,CUST006
PRD1407,10-12-2025,P005,886,CUST024
PRD1408,10-12-2025,P040,214,CUST096
PRD1409,10-12-2025,P037,672,CUST078
PRD1410,11-12-2025,P025,181,CUST081
PRD1411,11-12-2025,P007,836,CUST084
PRD1412,11-12-2025,P003,899,CUST021
PRD1413,12-12-2025,P005,650,CUST091
PRD1414,12-12-2025,P036,400,CUST023
PRD1415,12-12-2025,P036,510,CUST083
PRD1416,12-12-2025,P040,615,CUST034
PRD1417,13-12-2025,P020,200,CUST071
PRD1418,13-12-2025,P038,908,CUST029
PRD1419,14-12-2025,P029,316,CUST076
PRD1420,14-12-2025,P029,529,CUST031
PRD1421,14-12-2025,P033,970,CUST043
PRD1422,14-12-2025,P021,266,CUST086
PRD1423,15-12-2025,P008,809,CUST089
PRD1424,15-12-2025,P023,999,CUST008
PRD1425,15-12-2025,P035,859,CUST078
PRD1426,15-12-2025,P006,678,CUST061
PRD1427,15-12-2025,P030,751,CUST009
PRD1428,15-12-2025,P034,934,CUST019
PRD1429,16-12-2025,P003,677,CUST058
PRD1430,16-12-2025,P004,482,CUST028
PRD1431,17-12-2025,P009,391,CUST034
PRD1432,17-12-2025,P027,893,CUST049
PRD1433,17-12-2025,P027,317,CUST063
PRD1434,18-12-2025,P023,347,CUST040
PRD1435,18-12-2025,P032,813,CUST060
PRD1436,18-12-2025,P018,627,CUST043
PRD1437,18-12-2025,P039,280,CUST015
PRD1438,19-12-2025,P006,547,CUST099
PRD1439,19-12-2025,P005,669,CUST064
PRD1440,19-12-2025,P008,263,CUST061
PRD1441,19-12-2025,P017,781,CUST064
PRD1442,20-12-2025,P039,627,CUST084
PRD1443,20-12-2025,P014,849,CUST051
PRD1444,21-12-2025,P040,209,CUST021
PRD1445,21-12-2025,P033,805,CUST087
PRD1446,21-12-2025,P017,408,CUST097
PRD1447,21-12-2025,P022,412,CUST098
PRD1448,21-12-2025,P015,935,CUST052
PRD1449,21-12-2025,P006,193,CUST077
PRD1450,22-12-2025,P007,814,CUST067
PRD1451,22-12-2025,P018,207,CUST063
PRD1452,22-12-2025,P017,304,CUST003
PRD1453,22-12-2025,P025,964,CUST097
PRD1454,23-12-2025,P038,666,CUST066
PRD1455,23-12-2025,P034,273,CUST017
PRD1456,24-12-2025,P017,421,CUST016
PRD1457,24-12-2025,P033,665,CUST080
PRD1458,24-12-2025,P029,307,CUST097
PRD1459,25-12-2025,P007,820,CUST024
PRD1460,25-12-2025,P019,570,CUST064
PRD1461,26-12-2025,P028,433,CUST006
PRD1462,27-12-2025,P029,237,CUST054
PRD1463,28-12-2025,P019,513,CUST014
PRD1464,28-12-2025,P017,565,CUST085
PRD1465,28-12-2025,P040,176,CUST022
PRD1466,28-12-2025,P003,991,CUST032
PRD1467,29-12-2025,P008,313,CUST021
PRD1468,29-12-2025,P020,169,CUST051
PRD1469,30-12-2025,P028,778,CUST088
PRD1470,30-12-2025,P039,477,CUST074
PRD1471,30-12-2025,P030,355,CUST095
PRD1472,31-12-2025,P001,426,CUST095
PRD1473,31-12-2025,P007,124,CUST095
PRD1474,01-01-2026,P040,226,CUST051
PRD1475,01-01-2026,P028,347,CUST015
PRD1476,01-01-2026,P004,209,CUST011
PRD1477,02-01-2026,P031,703,CUST072
PRD1478,02-01-2026,P027,650,CUST042
PRD1479,03-01-2026,P013,871,CUST034
PRD1480,03-01-2026,P032,309,CUST081
PRD1481,04-01-2026,P009,376,CUST084
PRD1482,05-01-2026,P027,119,CUST037
PRD1483,06-01-2026,P007,151,CUST095
PRD1484,06-01-2026,P005,819,CUST092
PRD1485,06-01-2026,P011,191,CUST077
PRD1486,06-01-2026,P038,521,CUST023
PRD1487,06-01-2026,P002,609,CUST008
PRD1488,06-01-2026,P021,550,CUST027
PRD1489,07-01-2026,P038,864,CUST011
PRD1490,07-01-2026,P015,583,CUST079
PRD1491,08-01-2026,P023,199,CUST058
PRD1492,09-01-2026,P006,552,CUST034
PRD1493,09-01-2026,P027,949,CUST071
PRD1494,09-01-2026,P011,471,CUST022
PRD1495,10-01-2026,P038,787,CUST030
PRD1496,10-01-2026,P005,552,CUST044
PRD1497,11-01-2026,P026,594,CUST022
PRD1498,11-01-2026,P022,946,CUST021
PRD1499,13-01-2026,P002,909,CUST023
PRD1500,13-01-2026,P039,972,CUST007
PRD1501,13-01-2026,P014,776,CUST067
PRD1502,13-01-2026,P024,194,CUST059
PRD1503,14-01-2026,P009,323,CUST098
PRD1504,14-01-2026,P011,564,CUST051
PRD1505,15-01-2026,P031,280,CUST091
PRD1506,15-01-2026,P006,773,CUST099
PRD1507,15-01-2026,P036,375,CUST009
PRD1508,16-01-2026,P010,748,CUST079
PRD1509,16-01-2026,P033,786,CUST056
PRD1510,16-01-2026,P035,580,CUST027
PRD1511,18-01-2026,P004,498,CUST075
PRD1512,18-01-2026,P029,287,CUST064
PRD1513,19-01-2026,P030,305,CUST039
PRD1514,19-01-2026,P025,940,CUST029
PRD1515,20-01-2026,P021,321,CUST069
PRD1516,21-01-2026,P008,752,CUST023
PRD1517,21-01-2026,P004,856,CUST085
PRD1518,22-01-2026,P037,701,CUST019
PRD1519,22-01-2026,P036,321,CUST099
PRD1520,22-01-2026,P028,414,CUST054
PRD1521,23-01-2026,P021,565,CUST030
PRD1522,24-01-2026,P015,458,CUST043
PRD1523,24-01-2026,P034,979,CUST027
PRD1524,24-01-2026,P008,932,CUST084
PRD1525,25-01-2026,P034,116,CUST073
PRD1526,25-01-2026,P032,595,CUST025
PRD1527,26-01-2026,P002,806,CUST040
PRD1528,26-01-2026,P023,194,CUST056
PRD1529,26-01-2026,P038,139,CUST069
PRD1530,26-01-2026,P004,210,CUST001
PRD1531,26-01-2026,P024,752,CUST030
PRD1532,27-01-2026,P013,113,CUST008
PRD1533,27-01-2026,P007,314,CUST054
PRD1534,28-01-2026,P002,232,CUST039
PRD1535,29-01-2026,P004,807,CUST079
PRD1536,29-01-2026,P026,885,CUST023
PRD1537,29-01-2026,P026,819,CUST080
PRD1538,29-01-2026,P030,689,CUST054
PRD1539,30-01-2026,P033,304,CUST023
PRD1540,30-01-2026,P019,933,CUST041
PRD1541,30-01-2026,P026,763,CUST066
PRD1542,31-01-2026,P034,293,CUST045
PRD1543,01-02-2026,P012,978,CUST017
PRD1544,01-02-2026,P030,267,CUST030
PRD1545,01-02-2026,P002,393,CUST088
PRD1546,02-02-2026,P032,689,CUST048
PRD1547,02-02-2026,P005,891,CUST061
PRD1548,02-02-2026,P006,633,CUST052
PRD1549,02-02-2026,P037,759,CUST052
PRD1550,02-02-2026,P016,390,CUST018
PRD1551,03-02-2026,P022,996,CUST008
PRD1552,03-02-2026,P039,501,CUST017
PRD1553,03-02-2026,P003,899,CUST004
PRD1554,03-02-2026,P010,268,CUST072
PRD1555,04-02-2026,P020,607,CUST087
PRD1556,04-02-2026,P020,946,CUST076
PRD1557,04-02-2026,P019,947,CUST054
PRD1558,04-02-2026,P006,110,CUST010
PRD1559,04-02-2026,P031,809,CUST054
PRD1560,04-02-2026,P031,634,CUST062
PRD1561,05-02-2026,P021,522,CUST029
PRD1562,05-02-2026,P001,594,CUST025
PRD1563,05-02-2026,P009,318,CUST039
PRD1564,05-02-2026,P009,396,CUST097
PRD1565,05-02-2026,P028,315,CUST067
PRD1566,06-02-2026,P015,405,CUST072
PRD1567,07-02-2026,P022,331,CUST039
PRD1568,07-02-2026,P039,130,CUST021
PRD1569,07-02-2026,P002,483,CUST057
PRD1570,07-02-2026,P024,148,CUST018
PRD1571,08-02-2026,P011,146,CUST018
PRD1572,08-02-2026,P037,827,CUST060
PRD1573,08-02-2026,P017,753,CUST045
PRD1574,09-02-2026,P012,233,CUST042
PRD1575,09-02-2026,P011,828,CUST007
PRD1576,09-02-2026,P004,399,CUST059
PRD1577,09-02-2026,P024,603,CUST062
PRD1578,10-02-2026,P012,559,CUST098
PRD1579,10-02-2026,P018,923,CUST041
PRD1580,10-02-2026,P010,721,CUST022
PRD1581,11-02-2026,P005,567,CUST071
PRD1582,11-02-2026,P039,179,CUST040
PRD1583,12-02-2026,P013,821,CUST077
PRD1584,12-02-2026,P027,489,CUST060
PRD1585,12-02-2026,P021,933,CUST007
PRD1586,12-02-2026,P010,935,CUST001
PRD1587,13-02-2026,P030,329,CUST090
PRD1588,13-02-2026,P019,676,CUST070
PRD1589,13-02-2026,P033,632,CUST024
PRD1590,13-02-2026,P003,835,CUST056
PRD1591,14-02-2026,P022,739,CUST034
PRD1592,14-02-2026,P018,967,CUST026
PRD1593,14-02-2026,P033,359,CUST043
PRD1594,15-02-2026,P019,270,CUST006
PRD1595,15-02-2026,P040,584,CUST039
PRD1596,15-02-2026,P024,241,CUST099
PRD1597,16-02-2026,P024,924,CUST086
PRD1598,16-02-2026,P022,540,CUST034
PRD1599,16-02-2026,P027,418,CUST039
PRD1600,16-02-2026,P031,761,CUST074
PRD1601,17-02-2026,P013,803,CUST025
PRD1602,17-02-2026,P026,388,CUST007
PRD1603,17-02-2026,P002,394,CUST038
PRD1604,18-02-2026,P018,776,CUST029
